WSNAME,WATERSHED,WOREDA,AGRO,TYPE,AREA_KM2,AREA_HA
Babile Cacatu sulula,Chachatu,Babile,Lowland,Learning,5.196183797,519.6183797
Babile Guutoo,Gutu,Babile,Lowland,Learning,7.683830082,768.3830082
Babile Ija Butuu,Ija Butuu,Babile,Midland,Control,9.055885888,905.5885888
Babile Qabanawa sulula,Kebenawa,Babile,Lowland,Learning,6.215742728,621.5742728
Babile Sadiq,Sadiq,Babile,Lowland,Control,4.711971248,471.1971248
Babile Shekumar,Shekumar,Babile,Lowland,Control,3.692524103,369.2524103
Chinakson Ali Elemo,Ali-Elemo,Chinakson,Midland,Learning,12.38469317,1238.469317
Chinakson Guraf,Gurafa,Chinakson,Midland,Learning,3.756747583,375.6747583
Chinakson Kurfa Chale,Kurfa-Chelle,Chinakson,Midland,Learning,3.447925232,344.7925232
Chinakson Tula Wadaje,Tulu Wadaje,Chinakson,Midland,Control,4.295832502,429.5832502
Chinakson Urjii,Urji,Chinakson,Midland,Learning,3.254632772,325.4632772
Deder Dimmaa,Dimmaa,Deder,Lowland,Control,2.979001301,297.9001301
Deder Goro,Goro,Deder,Midland,Learning,3.698299364,369.8299364
Deder Haylu,Ute,Deder,Highland,Learning,3.221405621,322.1405621
Deder Wacaale,Wichale,Deder,Midland,Learning,4.448384921,444.8384921
Deder Zarafu,Gara Zerefu,Deder,Midland,Learning,3.362728138,336.2728138
Fedis Bidi Bora,Bidi Bora,Fedis,Lowland,Control,2.001414288,200.1414288
Fedis Gona,Gona,Fedis,Lowland,Learning,3.214274797,321.4274797
Fedis Ija Garo,Ija-Gero,Fedis,Lowland,Learning,3.773592927,377.3592927
Gursum Biyo Nagaya,Biyo,Gursum,Midland,Control,5.63895105,563.895105
Gursum Egal,Egal,Gursum,Lowland,Control,5.480964708,548.0964708
Gursum Goyla,Goyla,Gursum,Midland,Learning,6.784056742,678.4056742
Gursum Wara Ahmed,Wore-Ahmed,Gursum,Midland,Learning,2.572341069,257.2341069
Gursum Wara Ali,Wore-Ali,Gursum,Highland,Learning,2.896400363,289.6400363
Gursum Warabeley,Waraballey,Gursum,Midland,Learning,5.282677328,528.2677328
Jarso Ago,Ago,Jarso,Midland,Learning,14.64794583,1464.794583
Jarso Ali Elemo,Ali-Elemo,Jarso,Lowland,Learning,3.452571568,345.2571568
Jarso Ebo,Ebo,Jarso,Lowland,Learning,7.36562099,736.562099
Jarso Ija Lencha,Ija Lencha,Jarso,Lowland,Learning,5.931804856,593.1804856
Jarso Wara Chala,Worra-Chella,Jarso,Highland,Learning,8.411955979,841.1955979
Melkabelo Agdora,Agdora,Melkabelo,Midland,Learning,2.095047593,209.5047593
Melkabelo Bakaki,Bakaki,Melkabelo,Lowland,Control,3.606064045,360.6064045
Melkabelo Gadame,Gadame,Melkabelo,Highland,Control,6.906183089,690.6183089
Melkabelo Gola Warabo,Gola Warabo,Melkabelo,Lowland,Control,4.656877335,465.6877335
Melkabelo Gola gale,Gola Gale,Melkabelo,Lowland,Learning,2.999327832,299.9327832
Melkabelo Gorba,Gorba,Melkabelo,Midland,Learning,1.710862313,171.0862313
Melkabelo Ido Lencha,Ido Lencha,Melkabelo,Highland,Learning,2.419358433,241.9358433
Meta Bilalu,Bilalu,Meta,Midland,Learning,2.2650266,226.50266
Meta Harqaya,Harkaya,Meta,Midland,Learning,4.587415863,458.7415863
Meta Hawi Gudina,Hawi Gudina,Meta,Lowland,Learning,5.119425112,511.9425112
Meta Urfo,Urfo,Meta,Midland,Learning,4.889527042,488.9527042
Midhega Tola Gunda Usman,Gande-Usman,Midhega Tola,Lowland,Learning,4.036925963,403.6925963
Midhega Tola Ibro,Ibro,Midhega Tola,Lowland,Control,3.173676863,317.3676863
Midhega Tola Ija Dika,Ija Dhika,Midhega Tola,Lowland,Learning,6.008554037,600.8554037
Midhega Tola Ije Gombe,Ije Gombe,Midhega Tola,Lowland,Learning,1.128516814,112.8516814
Midhega Tola Quufa,Quufa,Midhega Tola,Lowland,Control,6.077811255,607.7811255
Midhega Tola Tarkanfata,Tarkanfata,Midhega Tola,Lowland,Control,8.100317375,810.0317375
Midhega Tola Umer Bula,Umer Bula,Midhega Tola,Lowland,Learning,3.177948951,317.7948951
Midhega Tola Urji,Urji,Midhega Tola,Lowland,Control,7.624874037,762.4874037
